2018-08-19T15:51:51,729 [DEBUG] (Passenger.java:63) - Passenger{login='0', currentX=46, currentY=18, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T15:53:32,585 [DEBUG] (Passenger.java:63) - Passenger{login='0', currentX=48, currentY=42, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T15:53:54,260 [DEBUG] (Passenger.java:63) - Passenger{login='0', currentX=40, currentY=25, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T15:55:07,985 [DEBUG] (Passenger.java:63) - Passenger{login='1', currentX=40, currentY=34, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T15:55:07,988 [DEBUG] (Passenger.java:63) - Passenger{login='2', currentX=10, currentY=15, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T15:59:15,029 [DEBUG] (Passenger.java:63) - Passenger{login='2', currentX=38, currentY=13, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T15:59:15,030 [DEBUG] (Passenger.java:63) - Passenger{login='0', currentX=8, currentY=42, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T15:59:15,030 [DEBUG] (Passenger.java:63) - Passenger{login='1', currentX=19, currentY=42, car=Car{name='bmw', currentX=4, currentY=6}}
2018-08-19T16:00:31,975 [DEBUG] (Passenger.java:63) - Passenger{login='2', currentX=46, currentY=40, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:00:31,973 [DEBUG] (Passenger.java:63) - Passenger{login='0', currentX=5, currentY=18, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:17:31,147 [DEBUG] (Passenger.java:63) - Passenger{login='0', currentX=22, currentY=25, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:17:31,147 [DEBUG] (Passenger.java:63) - Passenger{login='2', currentX=6, currentY=30, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:19:08,898 [DEBUG] (Passenger.java:63) - Passenger{login='1', currentX=16, currentY=48, car=Car{name='bmw', currentX=4, currentY=6}}
2018-08-19T16:19:08,902 [DEBUG] (Passenger.java:63) - Passenger{login='2', currentX=36, currentY=31, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:19:08,903 [DEBUG] (Passenger.java:63) - Passenger{login='0', currentX=42, currentY=24, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:26:36,825 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=21, currentY=9, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:26:36,841 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=7, currentY=2, car=Car{name='audi', currentX=5, currentY=5}}
2018-08-19T16:26:36,825 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=36, currentY=7, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:27:17,619 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=35, currentY=38, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:27:17,635 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=45, currentY=5, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:28:04,298 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=21, currentY=33, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:28:04,298 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=44, currentY=4, car=Car{name='audi', currentX=5, currentY=5}}
2018-08-19T16:28:04,298 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=49, currentY=18, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:28:17,159 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=7, currentY=21, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:28:17,159 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=12, currentY=20, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:28:17,147 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=14, currentY=46, car=Car{name='bmw', currentX=4, currentY=6}}
2018-08-19T16:28:30,847 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=23, currentY=29, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:31:51,302 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=9, currentY=40, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:31:51,301 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=31, currentY=11, car=Car{name='audi', currentX=5, currentY=5}}
2018-08-19T16:31:51,302 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=26, currentY=37, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:45:22,115 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=15, currentY=44, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:45:40,635 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=46, currentY=28, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:45:40,635 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=45, currentY=19, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:50:06,404 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=12, currentY=49, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T16:50:06,417 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=20, currentY=41, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:50:06,416 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=3, currentY=36, car=Car{name='bmw', currentX=4, currentY=6}}
2018-08-19T16:54:43,454 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=6, currentY=3, car=Car{name='audi', currentX=5, currentY=5}}
2018-08-19T16:54:43,453 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=13, currentY=4, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T16:54:43,452 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=27, currentY=48, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T17:20:51,969 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=17, currentY=44, car=Car{name='bmw', currentX=4, currentY=6}}
2018-08-19T17:20:51,981 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=9, currentY=8, car=Car{name='lada', currentX=9, currentY=9}}
2018-08-19T17:20:51,983 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=35, currentY=21, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T17:22:58,290 [DEBUG] (Passenger.java:62) - Passenger{login='2', currentX=31, currentY=14, car=Car{name='audi', currentX=5, currentY=5}}
2018-08-19T17:22:58,283 [DEBUG] (Passenger.java:62) - Passenger{login='0', currentX=29, currentY=49, car=Car{name='range rover', currentX=12, currentY=12}}
2018-08-19T17:22:58,288 [DEBUG] (Passenger.java:62) - Passenger{login='1', currentX=7, currentY=19, car=Car{name='lada', currentX=9, currentY=9}}
